topic_id,top_terms,doc_weight_sum,term_freq
T00,waiting ive uh oh chh chhchh chh chhchh sound,14.469236818482823,0.021864945602709924
T01,come im youre dance oh lady wanna know,25.887938836705477,0.047643821982701534
T02,got away tell want dont yeah mmm oh,37.26523521617462,0.05854738423794178
T03,im yeah day like just make pump miss,24.06563116142292,0.04073562966129601
T04,yeah yeah yeah just na dont im love na na,73.83471763649246,0.11772556319015383
T05,im say earn free love right lives pull,16.059108100131922,0.02709180304722905
T06,dont dit dit dit baby like im oh bad,35.021774587741966,0.054338529087214996
T07,sing like dont love listen feel sing sing dream,22.673768929665403,0.02799221788876977
T08,run di better better run im like di di people,18.161272260038313,0.030427797003018762
T09,im dont yeah got ill feel oh just,40.69702751260513,0.056306654358822275
T10,feel im know like dont did lala dancin,27.877877173714392,0.041023130831138094
T11,la la la lie night good make gonna youre,19.15474236345866,0.03820285729338442
T12,beep dun beep beep dun dun dont nyu nyu nyu doo,12.433036564549747,0.021276543728756092
T13,way got just dont youre want light hold,50.95617325340793,0.06316256792942866
T14,world know world world youre just ah dont oh,35.54572129204207,0.05236654645824689
T15,hey oh hey hey im dont oh oh baby yeah,52.59189151472138,0.07551682097832173
T16,run woman away oh im yeah da run away,27.405598688659296,0.04718308799021198
T17,im ya ride yeah ill night im gonna gonna,19.096111762788965,0.03079202817171862
T18,im like make time mind coming red heart,29.23114421094473,0.05362323248961572
T19,love know im dont oh ill like got,68.57199211625186,0.09417883806931986
